E_eV,Sig_b
1e-05,46.185
1.03125e-05,45.4936
1.0625e-05,44.8331
1.09375e-05,44.2014
1.125e-05,43.5963
1.15625e-05,43.0161
1.1875e-05,42.4592
1.21875e-05,41.9239
1.25e-05,41.409
1.28125e-05,40.9132
1.3125e-05,40.4354
1.34375e-05,39.9745
1.375e-05,39.5295
1.4375e-05,38.6839
1.5e-05,37.8921
1.5625e-05,37.1488
1.625e-05,36.4492
1.6875e-05,35.7893
1.75e-05,35.1654
1.8125e-05,34.5744
1.875e-05,34.0135
1.9375e-05,33.4804
2e-05,32.9727
2.09375e-05,32.2547
2.1875e-05,31.5841
2.28125e-05,30.9557
2.375e-05,30.3655
2.46875e-05,29.8098
2.5625e-05,29.2852
2.65625e-05,28.7892
2.75e-05,28.3191
2.84375e-05,27.8729
2.9375e-05,27.4486
3.03125e-05,27.0444
3.125e-05,26.659
3.21875e-05,26.2908
3.3125e-05,25.9387
3.40625e-05,25.6015
3.5e-05,25.2783
3.59375e-05,24.968
3.6875e-05,24.6699
3.78125e-05,24.3832
3.875e-05,24.1073
3.96875e-05,23.8414
4.0625e-05,23.5849
4.25e-05,23.0984
4.4375e-05,22.6438
4.625e-05,22.2179
4.8125e-05,21.8178
5e-05,21.4411
5.15625e-05,21.1435
5.3125e-05,20.8594
5.46875e-05,20.5881
5.625e-05,20.3285
5.78125e-05,20.0798
5.9375e-05,19.8413
6.09375e-05,19.6124
6.25e-05,19.3925
6.40625e-05,19.1809
6.5625e-05,18.9772
6.71875e-05,18.781
6.875e-05,18.5917
7.1875e-05,18.2325
7.5e-05,17.897
7.8125e-05,17.5827
8.125e-05,17.2875
8.4375e-05,17.0096
8.75e-05,16.7474
9.0625e-05,16.4995
9.375e-05,16.2648
9.6875e-05,16.0421
0.0001,15.8305
0.000103125,15.6291
0.00010625,15.4372
0.000109375,15.254
0.0001125,15.0789
0.000115625,14.9115
0.00011875,14.751
0.000121875,14.5972
0.000125,14.4496
0.000128125,14.3077
0.00013125,14.1713
0.000134375,14.04
0.0001375,13.9135
0.00014375,13.6739
0.00015,13.4505
0.00015625,13.2417
0.0001625,13.0459
0.00016875,12.862
0.000175,12.6888
0.00018125,12.5254
0.0001875,12.371
0.00019375,12.2248
0.0002,12.086
0.000209375,11.8908
0.00021875,11.7094
0.000228125,11.5404
0.0002375,11.3826
0.000246875,11.2347
0.00025625,11.0958
0.000265625,10.9652
0.000275,10.842
0.000284375,10.7256
0.00029375,10.6155
0.000303125,10.5112
0.0003125,10.4121
0.000321875,10.3179
0.00033125,10.2282
0.000340625,10.1427
0.00035,10.0611
0.000359375,9.98305
0.00036875,9.90842
0.000378125,9.83693
0.0003875,9.7684
0.000396875,9.70262
0.00040625,9.63944
0.000425,9.52023
0.00044375,9.40968
